"reference_id","tag","data"
"e2db0f78-cdbb-4571-bd2c-c8ac67814193","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Awesome"", ""review_title"": ""Fabulous!"", ""website_path"": ""wallet_card_wallet"", ""product_title"": ""WildHorn Men Casual, Formal Black Genuine Leather Wallet""}"
"d65cd001-2edd-4817-87e4-1880d587c5f0","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Very Good"", ""review_title"": ""Met Expectations"", ""website_path"": ""pressure_cooker"", ""product_title"": ""Surya Accent Induction Bottom 2 L, 3 L, 5 L Pressure Cooker""}"
"daf14363-0ded-4edb-add9-ccef4dcef80b","FLIPKART_REVIEW_MODERATION","{""review_body"": ""superb quality and thankx for timely delivery."", ""review_title"": ""superb:-))"", ""website_path"": ""trouser"", ""product_title"": ""KANNAN Regular Fit Women's Pink, Black Trousers""}"
"9f4adfb1-79dc-4acb-9100-1a196f7f1c4b","FLIPKART_REVIEW_MODERATION","{""review_body"": ""It's good"", ""review_title"": ""Delightful"", ""website_path"": ""memory_card"", ""product_title"": ""SAMSUNG Evo 64 GB MicroSDXC Class 10 48 MB/s  Memory Card""}"
"8200fad3-88bc-4ee6-8b9f-3696696b4485","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Please super pcs my phone grey colour\nMy requirements Grey colour"", ""review_title"": ""Utterly Disappointed"", ""website_path"": ""mobile"", ""product_title"": ""Oppo F1s (Gold, 32 GB)""}"
"405a4f7e-2bae-4dfe-9f90-e68b69c03988","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Product is good..but i am not satifatied with delivery"", ""review_title"": ""Expected a better product"", ""website_path"": ""weighing_scale"", ""product_title"": ""Soy Impulse Smiley Portable Electronic Luggage Weighing Scale""}"
"3bb7ce29-aec6-4f59-9152-ce50b6911cfa","FLIPKART_REVIEW_MODERATION","{""review_body"": ""The product was very nice but the delivery was too slow. Thank you flipkart"", ""review_title"": ""Good choice"", ""website_path"": ""t_shirt"", ""product_title"": ""Wrangler Printed Men's Round Neck Black T-Shirt""}"
"d6a53537-62fb-45aa-9e15-348e9fbe682e","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Material is good but fit is not upto the mark."", ""review_title"": ""Does the job"", ""website_path"": ""trouser"", ""product_title"": ""Basics Slim Fit Men's Green Trousers""}"
"391c4f36-fb24-4200-a065-68c01bd0e196","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Good..... But no as bright as shown in the picture.... surface is also very rough"", ""review_title"": ""Wonderful"", ""website_path"": ""cases_covers"", ""product_title"": ""PrintVisa Back Cover for Lenovo K3 Note""}"
"8e0c216f-4463-4540-b212-c68f69dd9a8d","FLIPKART_REVIEW_MODERATION","{""review_body"": ""The quality of product very poor. The colour of kurta and jacket was totally different."", ""review_title"": ""Worst experience ever!"", ""website_path"": ""ethnic_set"", ""product_title"": ""Ethiic Men's Kurta, Waistcoat and Pyjama Set""}"
"5d0322e9-2a08-405a-94d1-cb96c78d7a73","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Recieved the watch next day of ordering. Good packaging. The dial is slightly bigger, but overall watch is not very heavy. Very comfortable to wear. Looks beautiful. Two dials are given for different time zones. Overall a nice deal."", ""review_title"": ""Fast delievery and awesome watch."", ""website_path"": ""watch"", ""product_title"": ""Maxima 22720CMGI Attivo Analog Watch  - For Men""}"
"1114993b-3583-4791-bc42-ef9c0d6815d8","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Good product..\nGood quality.."", ""review_title"": ""Worth the money"", ""website_path"": ""shirt"", ""product_title"": ""Roadster Men's Solid Casual Blue Shirt""}"
"6054e512-d16c-46fd-b034-65559b3781b5","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Awesome product.. very good quality"", ""review_title"": ""Awesome"", ""website_path"": ""pressure_cooker"", ""product_title"": ""Apex Stainless Steel Popular Handi 5.5 L Pressure Cooker""}"
